Date;Lowest Price of the Day;Highest Price of the Day;Closing Price;Previous Day Closing Price;Volume Traded
20220401;29.5;30.0;29.55;29.95;1500
20220404;29.0;30.0;29.9;29.55;10200
20220405;30.0;30.0;30.0;29.9;385000
20220406;30.0;30.0;30.0;30.0;1154300
20220407;30.0;30.0;30.0;30.0;300
20220408;30.0;30.0;30.0;30.0;-
20220411;29.0;30.0;29.5;30.0;200
20220412;29.0;29.0;29.0;29.5;1700
20220413;29.0;29.0;29.0;29.0;-
20220414;29.0;29.0;29.0;29.0;-
20220419;29.0;30.0;29.2;29.0;2600
20220420;29.0;29.0;29.0;29.2;100
20220421;29.0;30.0;29.15;29.0;2300
20220422;29.0;29.0;29.0;29.15;3600
20220425;29.0;29.0;29.0;29.0;1400
20220426;29.9;29.9;29.9;29.0;100
20220427;29.9;29.9;29.9;29.9;1000
20220428;29.9;30.0;30.0;29.9;2700
