EGAD;Eaagads Ltd;33.0;34.0;33.25;12100
LIMT;Limuru Tea Company Ltd;350.0;350.0;350.0;900
REA;Rea Vipingo Plantations Ltd;24.5;26.5;25.25;29100
SASN;Sasini Tea and Coffee Ltd;120.0;125.0;122.0;46200
WTK;Williamson Tea Kenya Ltd;115.0;120.0;115.0;5500
C&G;Car and General (K) Ltd;57.0;57.0;57.0;200
CMC;CMC Holdings Ltd;160.0;170.0;164.0;55600
FIRE;Sameer Africa Ltd;26.0;29.5;28.25;336900
BBK;Barclays Bank Ltd;580.0;635.0;599.0;346000
DTK;Diamond Trust Bank Kenya Ltd;76.0;78.0;76.0;25900
EQTY;Equity Group Holdings Ltd;135.0;140.0;137.0;22900
HFCK;HF Group Limited;46.0;49.0;47.75;70500
KCB;Kenya Commercial Bank Ltd;215.0;220.0;216.0;234400
NBK;National Bank of Kenya Ltd;56.0;62.0;59.0;120600
NIC;NIC Bank Ltd;100.0;102.0;101.0;12500
CFC;Stanbic Holdings Ltd;75.0;85.0;80.5;44000
SCBK;Standard Chartered Bank Ltd;200.0;210.0;208.0;32600
XPRS;Express Ltd;27.0;31.0;29.75;237000
KQ;Kenya Airways Ltd;113.0;123.0;119.0;345000
NMG;Nation Media Group;315.0;335.0;322.0;41200
SGL;Standard Group Ltd;56.0;60.0;57.5;16100
TPSE;TPS Eastern Africa (Serena) Ltd;86.0;89.0;88.0;238500
SCAN;WPP ScanGroup Ltd;21.0;23.0;22.0;444700
ARM;ARM Cement Ltd;80.0;85.0;81.5;34900
BAMB;Bamburi Cement Ltd;220.0;228.0;223.0;1300
BERG;Crown Berger Ltd;39.0;40.0;39.5;9000
CABL;East African Cables Ltd;47.0;50.0;49.25;95900
PORT;East African Portland Cement Ltd;130.0;130.0;130.0;300
KENO;KenolKobil Ltd;106.0;113.0;109.0;193400
KEGN;Kenya Electricity Generating Company Ltd;28.5;33.0;30.75;1.15M
KPLC;Kenya Power and Lighting Ltd;280.0;290.0;286.0;118600
TOTL;Total Kenya Ltd;34.0;36.0;34.25;52100
JUB;Jubilee Holdings Ltd;275.0;285.0;281.0;13400
PAFR;Sanlam Kenya Plc;80.0;84.0;80.0;1300
ICDC;Centum Investment Company Ltd;366.0;411.0;407.0;113800
OCH;Olympia Capital Holdings Ltd;18.2;20.0;18.75;9700
BAT;British American Tobacco Kenya Ltd;190.0;195.0;190.0;8200
EABL;East African Breweries Ltd;139.0;147.0;144.0;28200
MSC;Mumias Sugar Company Ltd;50.0;54.5;50.0;1.96M
UNGA;Unga Group Ltd;17.5;19.0;17.6;38100
^N20I;NSE 20-Share Index;5676.05;5676.05;5676.05;-
;;;;;
